id,title,abstract,categories,authors,keywords,topic,combined_text
704.0043,Nonequilibrium entropy limiters in lattice Boltzmann methods,"  We construct a system of nonequilibrium entropy limiters for the lattice
Boltzmann methods (LBM). These limiters erase spurious oscillations without
blurring of shocks, and do not affect smooth solutions. In general, they do the
same work for LBM as flux limiters do for finite differences, finite volumes
and finite elements methods, but for LBM the main idea behind the construction
of nonequilibrium entropy limiter schemes is to transform a field of a scalar
quantity - nonequilibrium entropy. There are two families of limiters: (i)
based on restriction of nonequilibrium entropy (entropy ""trimming"") and (ii)
based on filtering of nonequilibrium entropy (entropy filtering). The physical
properties of LBM provide some additional benefits: the control of entropy
production and accurate estimate of introduced artificial dissipation are
possible. The constructed limiters are tested on classical numerical examples:
1D athermal shock tubes with an initial density ratio 1:2 and the 2D lid-driven
cavity for Reynolds numbers Re between 2000 and 7500 on a coarse 100*100 grid.
All limiter constructions are applicable for both entropic and non-entropic
quasiequilibria.
",cond-mat.stat-mech; cond-mat.mtrl-sci,R.A. Brownlee; A.N. Gorban; J. Levesley,entropy; finite; 100; methods; based,9,"Nonequilibrium entropy limiters in lattice Boltzmann methods   We construct a system of nonequilibrium entropy limiters for the lattice
Boltzmann methods (LBM). These limiters erase spurious oscillations without
blurring of shocks, and do not affect smooth solutions. In general, they do the
same work for LBM as flux limiters do for finite differences, finite volumes
and finite elements methods, but for LBM the main idea behind the construction
of nonequilibrium entropy limiter schemes is to transform a field of a scalar
quantity - nonequilibrium entropy. There are two families of limiters: (i)
based on restriction of nonequilibrium entropy (entropy ""trimming"") and (ii)
based on filtering of nonequilibrium entropy (entropy filtering). The physical
properties of LBM provide some additional benefits: the control of entropy
production and accurate estimate of introduced artificial dissipation are
possible. The constructed limiters are tested on classical numerical examples:
1D athermal shock tubes with an initial density ratio 1:2 and the 2D lid-driven
cavity for Reynolds numbers Re between 2000 and 7500 on a coarse 100*100 grid.
All limiter constructions are applicable for both entropic and non-entropic
quasiequilibria.
"
704.01,Topology Change of Black Holes,"  The topological structure of the event horizon has been investigated in terms
of the Morse theory. The elementary process of topological evolution can be
understood as a handle attachment. It has been found that there are certain
constraints on the nature of black hole topological evolution: (i) There are n
kinds of handle attachments in (n+1)-dimensional black hole space-times. (ii)
Handles are further classified as either of black or white type, and only black
handles appear in real black hole space-times. (iii) The spatial section of an
exterior of the black hole region is always connected. As a corollary, it is
shown that the formation of a black hole with an S**(n-2) x S**1 horizon from
that with an S**(n-1) horizon must be non-axisymmetric in asymptotically flat
space-times.
",gr-qc,Daisuke Ida and Masaru Siino,black; hole; horizon; topological; times,9,"Topology Change of Black Holes   The topological structure of the event horizon has been investigated in terms
of the Morse theory. The elementary process of topological evolution can be
understood as a handle attachment. It has been found that there are certain
constraints on the nature of black hole topological evolution: (i) There are n
kinds of handle attachments in (n+1)-dimensional black hole space-times. (ii)
Handles are further classified as either of black or white type, and only black
handles appear in real black hole space-times. (iii) The spatial section of an
exterior of the black hole region is always connected. As a corollary, it is
shown that the formation of a black hole with an S**(n-2) x S**1 horizon from
that with an S**(n-1) horizon must be non-axisymmetric in asymptotically flat
space-times.
"
704.0138,"Circular and non-circular nearly horizon-skimming orbits in Kerr
  spacetimes","  We have performed a detailed analysis of orbital motion in the vicinity of a
nearly extremal Kerr black hole. For very rapidly rotating black holes (spin
a=J/M>0.9524M) we have found a class of very strong field eccentric orbits
whose angular momentum L_z increases with the orbit's inclination with respect
to the equatorial plane, while keeping latus rectum and eccentricity fixed.
This behavior is in contrast with Newtonian intuition, and is in fact opposite
to the ""normal"" behavior of black hole orbits. Such behavior was noted
previously for circular orbits; since it only applies to orbits very close to
the black hole, they were named ""nearly horizon-skimming orbits"". Our analysis
generalizes this result, mapping out the full generic (inclined and eccentric)
family of nearly horizon-skimming orbits. The earlier work on circular orbits
reported that, under gravitational radiation emission, nearly horizon-skimming
orbits tend to evolve to smaller orbit inclination, toward prograde equatorial
configuration. Normal orbits, by contrast, always demonstrate slowly growing
orbit inclination (orbits evolve toward the retrograde equatorial
configuration). Using up-to-date Teukolsky-fluxes, we have concluded that the
earlier result was incorrect: all circular orbits, including nearly
horizon-skimming ones, exhibit growing orbit inclination. Using kludge fluxes
based on a Post-Newtonian expansion corrected with fits to circular and to
equatorial Teukolsky-fluxes, we argue that the inclination grows also for
eccentric nearly horizon-skimming orbits. We also find that the inclination
change is, in any case, very small. As such, we conclude that these orbits are
not likely to have a clear and peculiar imprint on the gravitational waveforms
expected to be measured by the space-based detector LISA.
",gr-qc; astro-ph,Enrico Barausse; Scott A. Hughes; Luciano Rezzolla,orbits; horizon; orbit; black; hole,9,"Circular and non-circular nearly horizon-skimming orbits in Kerr
  spacetimes   We have performed a detailed analysis of orbital motion in the vicinity of a
nearly extremal Kerr black hole. For very rapidly rotating black holes (spin
a=J/M>0.9524M) we have found a class of very strong field eccentric orbits
whose angular momentum L_z increases with the orbit's inclination with respect
to the equatorial plane, while keeping latus rectum and eccentricity fixed.
This behavior is in contrast with Newtonian intuition, and is in fact opposite
to the ""normal"" behavior of black hole orbits. Such behavior was noted
previously for circular orbits; since it only applies to orbits very close to
the black hole, they were named ""nearly horizon-skimming orbits"". Our analysis
generalizes this result, mapping out the full generic (inclined and eccentric)
family of nearly horizon-skimming orbits. The earlier work on circular orbits
reported that, under gravitational radiation emission, nearly horizon-skimming
orbits tend to evolve to smaller orbit inclination, toward prograde equatorial
configuration. Normal orbits, by contrast, always demonstrate slowly growing
orbit inclination (orbits evolve toward the retrograde equatorial
configuration). Using up-to-date Teukolsky-fluxes, we have concluded that the
earlier result was incorrect: all circular orbits, including nearly
horizon-skimming ones, exhibit growing orbit inclination. Using kludge fluxes
based on a Post-Newtonian expansion corrected with fits to circular and to
equatorial Teukolsky-fluxes, we argue that the inclination grows also for
eccentric nearly horizon-skimming orbits. We also find that the inclination
change is, in any case, very small. As such, we conclude that these orbits are
not likely to have a clear and peculiar imprint on the gravitational waveforms
expected to be measured by the space-based detector LISA.
"
704.014,Entanglement entropy of two-dimensional Anti-de Sitter black holes,"  Using the AdS/CFT correspondence we derive a formula for the entanglement
entropy of the anti-de Sitter black hole in two spacetime dimensions. The
leading term in the large black hole mass expansion of our formula reproduces
exactly the Bekenstein-Hawking entropy S_{BH}, whereas the subleading term
behaves as ln S_{BH}. This subleading term has the universal form typical for
the entanglement entropy of physical systems described by effective conformal
fields theories (e.g. one-dimensional statistical models at the critical
point). The well-known form of the entanglement entropy for a two-dimensional
conformal field theory is obtained as analytic continuation of our result and
is related with the entanglement entropy of a black hole with negative mass.
",hep-th,Mariano Cadoni,entropy; entanglement; term; black; hole,9,"Entanglement entropy of two-dimensional Anti-de Sitter black holes   Using the AdS/CFT correspondence we derive a formula for the entanglement
entropy of the anti-de Sitter black hole in two spacetime dimensions. The
leading term in the large black hole mass expansion of our formula reproduces
exactly the Bekenstein-Hawking entropy S_{BH}, whereas the subleading term
behaves as ln S_{BH}. This subleading term has the universal form typical for
the entanglement entropy of physical systems described by effective conformal
fields theories (e.g. one-dimensional statistical models at the critical
point). The well-known form of the entanglement entropy for a two-dimensional
conformal field theory is obtained as analytic continuation of our result and
is related with the entanglement entropy of a black hole with negative mass.
"
704.0149,Construction of initial data for 3+1 numerical relativity,"  This lecture is devoted to the problem of computing initial data for the
Cauchy problem of 3+1 general relativity. The main task is to solve the
constraint equations. The conformal technique, introduced by Lichnerowicz and
enhanced by York, is presented. Two standard methods, the conformal
transverse-traceless one and the conformal thin sandwich, are discussed and
illustrated by some simple examples. Finally a short review regarding initial
data for binary systems (black holes and neutron stars) is given.
",gr-qc,Eric Gourgoulhon (LUTH; CNRS / Observatoire de Paris / Univ. Paris 7),initial; problem; data; constraint; relativity,9,"Construction of initial data for 3+1 numerical relativity   This lecture is devoted to the problem of computing initial data for the
Cauchy problem of 3+1 general relativity. The main task is to solve the
constraint equations. The conformal technique, introduced by Lichnerowicz and
enhanced by York, is presented. Two standard methods, the conformal
transverse-traceless one and the conformal thin sandwich, are discussed and
illustrated by some simple examples. Finally a short review regarding initial
data for binary systems (black holes and neutron stars) is given.
"
704.0226,"Correlated modulation between the redshifted Fe K alpha line and the
  continuum emission in NGC 3783","  It has been suggested that X-ray observations of rapidly variable Seyfert
galaxies may hold the key to probe the gas orbital motions in the innermost
regions of accretion discs around black holes and, thus, trace flow patterns
under the effect of the hole strong gravitational field. We explore this
possibility analizing XMM-Newton observations of the seyfert 1 galaxy NGC 3783.
A detiled time-resolved spectral analysis is performed down to the shortest
possible time-scales (few ks) using ""excess maps"" and cross-correlating light
curves in different energy bands. In addition to a constant core of the Fe K
alpha line, we detected a variable and redshifted Fe K alpha emission feature
between 5.3-6.1 keV. The line exhibits a modulation on a time-scale of 27 ks
that is similar to and in phase with a modulation of the 0.3-10 keV source
continuum. The time-scale of the correlated variability of the redshifted Fe
line and continuum agrees with the local dynamical time-scale of the accretion
disc at 10 r_g around a black hole of 10^7 M_sun. Given the shape of the
redshfted line emission and the overall X-ray variability pattern, the line is
likely to arise from the relativistic region near the black hole.
",astro-ph,"F. Tombesi (1; 2); B. De Marco (3); K. Iwasawa (4); M. Cappi (1); M.
  Dadina (1); G. Ponti (1; 2); G. Miniutti (5) and G.G.C. Palumbo (2) ((1)
  INAF-IASF Bologna; (2) UNIBO; (3) SISSA; (4) MPE; (5) Institute of Astronomy; Cambridge)",line; fe; time; black; hole,9,"Correlated modulation between the redshifted Fe K alpha line and the
  continuum emission in NGC 3783   It has been suggested that X-ray observations of rapidly variable Seyfert
galaxies may hold the key to probe the gas orbital motions in the innermost
regions of accretion discs around black holes and, thus, trace flow patterns
under the effect of the hole strong gravitational field. We explore this
possibility analizing XMM-Newton observations of the seyfert 1 galaxy NGC 3783.
A detiled time-resolved spectral analysis is performed down to the shortest
possible time-scales (few ks) using ""excess maps"" and cross-correlating light
curves in different energy bands. In addition to a constant core of the Fe K
alpha line, we detected a variable and redshifted Fe K alpha emission feature
between 5.3-6.1 keV. The line exhibits a modulation on a time-scale of 27 ks
that is similar to and in phase with a modulation of the 0.3-10 keV source
continuum. The time-scale of the correlated variability of the redshifted Fe
line and continuum agrees with the local dynamical time-scale of the accretion
disc at 10 r_g around a black hole of 10^7 M_sun. Given the shape of the
redshfted line emission and the overall X-ray variability pattern, the line is
likely to arise from the relativistic region near the black hole.
"
704.0228,"Einstein vs Maxwell: Is gravitation a curvature of space, a field in
  flat space, or both?","  Starting with a field theoretic approach in Minkowski space, the
gravitational energy momentum tensor is derived from the Einstein equations in
a straightforward manner. This allows to present them as {\it acceleration
tensor} = const. $\times$ {\it total energy momentum tensor}. For flat space
cosmology the gravitational energy is negative and cancels the material energy.
In the relativistic theory of gravitation a bimetric coupling between the
Riemann and Minkowski metrics breaks general coordinate invariance. The case of
a positive cosmological constant is considered. A singularity free version of
the Schwarzschild black hole is solved analytically. In the interior the
components of the metric tensor quickly die out, but do not change sign,
leaving the role of time as usual. For cosmology the $\Lambda$CDM model is
covered, while there appears a form of inflation at early times. Here both the
total energy and the zero point energy vanish.
",gr-qc; astro-ph; quant-ph,Theo M. Nieuwenhuizen,tensor; energy; gravitational; momentum; total,9,"Einstein vs Maxwell: Is gravitation a curvature of space, a field in
  flat space, or both?   Starting with a field theoretic approach in Minkowski space, the
gravitational energy momentum tensor is derived from the Einstein equations in
a straightforward manner. This allows to present them as {\it acceleration
tensor} = const. $\times$ {\it total energy momentum tensor}. For flat space
cosmology the gravitational energy is negative and cancels the material energy.
In the relativistic theory of gravitation a bimetric coupling between the
Riemann and Minkowski metrics breaks general coordinate invariance. The case of
a positive cosmological constant is considered. A singularity free version of
the Schwarzschild black hole is solved analytically. In the interior the
components of the metric tensor quickly die out, but do not change sign,
leaving the role of time as usual. For cosmology the $\Lambda$CDM model is
covered, while there appears a form of inflation at early times. Here both the
total energy and the zero point energy vanish.
"
704.0284,"Second Order Perturbative Calculation of Quasinormal Modes of
  Schwarzschild Black Holes","  We analytically calculate to second order the correction to the asymptotic
form of quasinormal frequencies of four dimensional Schwarzschild black holes
based on the monodromy analysis proposed by Motl and Neitzke. Our results are
in good agreement with those obtained from numerical calculation.
",hep-th; gr-qc,Hsien-chung Kao,correction; frequencies; calculation; holes; asymptotic,9,"Second Order Perturbative Calculation of Quasinormal Modes of
  Schwarzschild Black Holes   We analytically calculate to second order the correction to the asymptotic
form of quasinormal frequencies of four dimensional Schwarzschild black holes
based on the monodromy analysis proposed by Motl and Neitzke. Our results are
in good agreement with those obtained from numerical calculation.
"
704.0316,"The Millennium Galaxy Catalogue: The local supermassive black hole mass
  function in early- and late-type galaxies","  We provide a new estimate of the local supermassive black hole mass function
using (i) the empirical relation between supermassive black hole mass and the
Sersic index of the host spheroidal stellar system and (ii) the measured
(spheroid) Sersic indices drawn from 10k galaxies in the Millennium Galaxy
Catalogue. The observational simplicity of our approach, and the direct
measurements of the black hole predictor quantity, i.e. the Sersic index, for
both elliptical galaxies and the bulges of disc galaxies makes it
straightforward to estimate accurate black hole masses in early- and late-type
galaxies alike. We have parameterised the supermassive black hole mass function
with a Schechter function and find, at the low-mass end, a logarithmic slope
(1+alpha) of ~0.7 for the full galaxy sample and ~1.0 for the early-type galaxy
sample. Considering spheroidal stellar systems brighter than M_B = -18 mag, and
integrating down to black hole masses of 10^6 M_sun, we find that the local
mass density of supermassive black holes in early-type galaxies rho_{bh,
early-type} = (3.5+/-1.2) x 10^5 h^3_{70} M_sun Mpc^{-3}, and in late-type
galaxies rho_{bh, late-type} = (1.0+/-0.5) x 10^5 h^3_{70} M_sun Mpc^{-3}. The
uncertainties are derived from Monte Carlo simulations which include
uncertainties in the M_bh-n relation, the catalogue of Sersic indices, the
galaxy weights and Malmquist bias. The combined, cosmological, supermassive
black hole mass density is thus Omega_{bh, total} = (3.2+/-1.2) x 10^{-6} h_70.
That is, using a new and independent method, we conclude that (0.007+/-0.003)
h^3_{70} per cent of the universe's baryons are presently locked up in
supermassive black holes at the centres of galaxies.
",astro-ph,Alister W. Graham; Simon P. Driver; Paul D. Allen; Jochen Liske,black; galaxies; hole; type; early,9,"The Millennium Galaxy Catalogue: The local supermassive black hole mass
  function in early- and late-type galaxies   We provide a new estimate of the local supermassive black hole mass function
using (i) the empirical relation between supermassive black hole mass and the
Sersic index of the host spheroidal stellar system and (ii) the measured
(spheroid) Sersic indices drawn from 10k galaxies in the Millennium Galaxy
Catalogue. The observational simplicity of our approach, and the direct
measurements of the black hole predictor quantity, i.e. the Sersic index, for
both elliptical galaxies and the bulges of disc galaxies makes it
straightforward to estimate accurate black hole masses in early- and late-type
galaxies alike. We have parameterised the supermassive black hole mass function
with a Schechter function and find, at the low-mass end, a logarithmic slope
(1+alpha) of ~0.7 for the full galaxy sample and ~1.0 for the early-type galaxy
sample. Considering spheroidal stellar systems brighter than M_B = -18 mag, and
integrating down to black hole masses of 10^6 M_sun, we find that the local
mass density of supermassive black holes in early-type galaxies rho_{bh,
early-type} = (3.5+/-1.2) x 10^5 h^3_{70} M_sun Mpc^{-3}, and in late-type
galaxies rho_{bh, late-type} = (1.0+/-0.5) x 10^5 h^3_{70} M_sun Mpc^{-3}. The
uncertainties are derived from Monte Carlo simulations which include
uncertainties in the M_bh-n relation, the catalogue of Sersic indices, the
galaxy weights and Malmquist bias. The combined, cosmological, supermassive
black hole mass density is thus Omega_{bh, total} = (3.2+/-1.2) x 10^{-6} h_70.
That is, using a new and independent method, we conclude that (0.007+/-0.003)
h^3_{70} per cent of the universe's baryons are presently locked up in
supermassive black holes at the centres of galaxies.
"
704.0326,On generalized entropy measures and pathways,"  Product probability property, known in the literature as statistical
independence, is examined first. Then generalized entropies are introduced, all
of which give generalizations to Shannon entropy. It is shown that the nature
of the recursivity postulate automatically determines the logarithmic
functional form for Shannon entropy. Due to the logarithmic nature, Shannon
entropy naturally gives rise to additivity, when applied to situations having
product probability property. It is argued that the natural process is
non-additivity, important, for example, in statistical mechanics, even in
product probability property situations and additivity can hold due to the
involvement of a recursivity postulate leading to a logarithmic function.
Generalizations, including Mathai's generalized entropy are introduced and some
of the properties are examined. Situations are examined where Mathai's entropy
leads to pathway models, exponential and power law behavior and related
differential equations. Connection of Mathai's entropy to Kerridge's measure of
""inaccuracy"" is also explored.
",math.ST; cond-mat.stat-mech; stat.TH,A.M. Mathai; H.J. Haubold,entropy; property; product; probability; statistical,9,"On generalized entropy measures and pathways   Product probability property, known in the literature as statistical
independence, is examined first. Then generalized entropies are introduced, all
of which give generalizations to Shannon entropy. It is shown that the nature
of the recursivity postulate automatically determines the logarithmic
functional form for Shannon entropy. Due to the logarithmic nature, Shannon
entropy naturally gives rise to additivity, when applied to situations having
product probability property. It is argued that the natural process is
non-additivity, important, for example, in statistical mechanics, even in
product probability property situations and additivity can hold due to the
involvement of a recursivity postulate leading to a logarithmic function.
Generalizations, including Mathai's generalized entropy are introduced and some
of the properties are examined. Situations are examined where Mathai's entropy
leads to pathway models, exponential and power law behavior and related
differential equations. Connection of Mathai's entropy to Kerridge's measure of
""inaccuracy"" is also explored.
"
